number,name
0001,Cherry Hill Mall
0002,Willowbrook (NJ)
0004,Menlo Park Mall
0005,Plymouth Meeting Mall
0006,Mall St. Matthews
0009,South Hills Village
0011,Deptford Mall
0013,Capital City Mall
0016,The Mall in Columbia
0018,Perimeter Mall
0022,Berkshire Mall
0024,Westfield Garden State Plaza
0027,Concord Mall
0034,Moorestown Mall
0035,The Mall at Short Hills
0036,Oxmoor Center
0040,Kings Plaza Shopping Center
0043,The Mall at Greece Ridge
0045,Quinte Mall
0051,Eastview Mall
0052,Orange Park Mall
0055,Lehigh Valley Mall
0056,King of Prussia Plaza
0058,Central Mall Fort Smith
0060,Oxford Valley Mall
0061,Lenox Square
0062,Green Acres Mall
0064,Staten Island Mall
0070,Broadway Plaza
0077,Paramus Park
0078,Cumberland Mall (GA)
0089,Viewmont Mall
0090,Quaker Bridge Mall
0092,Springfield Mall
0096,Cordova Mall
0099,Fairlane Town Center
0106,Westfield Galleria at Roseville
0107,Southlake Mall
0110,Brazos Mall
0116,SouthPark Mall (NC)
0117,Great Mall
0119,Riverchase Galleria
0123,Valley Mall (MD)
0140,Sooner Mall
0142,Penn Square Mall
0143,Briarwood Mall
0146,Uniontown Mall
0150,Queens Center
0152,Nittany Mall
0161,Glenbrook Square
0166,Dadeland Mall
0167,Ontario Mills
0171,Altamonte Mall
0172,Town Center at Aurora
0175,Woodfield Mall
0176,Richmond Mall
0180,Westland Mall
0181,Greenville Mall
0183,Eastdale Mall
0189,Connecticut Post
0190,Cumberland Mall
0194,Green Tree Mall
0196,Hulen Mall
0197,Rockaway Townsquare
0198,Fashion District Philadelphia
0199,Mall at Prince George's
0201,Kenwood Towne Centre
0204,WestGate Mall
0212,Westfield Culver City
0214,Coastland Center
0215,Trumbull
0221,Westgate Mall (TX)
0224,Augusta Mall
0225,Tyrone Square
0228,Sunvalley Shopping Center
0230,Hickory Point Mall
0232,Crossroads Center
0233,Christiana Mall
0241,Francis Scott Key Mall
0246,Fort Henry Mall
0247,Westwood Mall
0249,Lansing Mall
0252,Southwest Plaza
0254,The Shops at Santa Anita
0265,Governors Square
0266,Valencia Town Center
0272,Monroe Crossing Mall
0273,Florence Mall
0274,Miller Hill Mall
0275,Opry Mills
0278,Vintage Faire Mall
0279,Plaza Carolina
0282,Acadiana Mall
0283,The Gallery At South DeKalb
0286,Meadowood Mall
0287,Baybrook Mall
0290,Fashion Island
0294,Alderwood Mall
0295,The Shops at Mission Viejo
0297,University Park Mall
0298,Carolina Mall
0299,Independence Mall
0300,Susquehanna Valley Mall
0302,Dulles Town Center
0307,The Mall at Johnson City
0308,Southern Park Mall
0310,Marley Station Mall
0312,Hamilton Mall
0316,College Square
0318,Mall at Wellington Green
0323,Eastgate Mall
0329,The Galleria
0330,Valley Hills Mall
0333,Fair Oaks Mall
0334,Victoria Mall
0336,Gulf View Square
0337,Westfarms
0343,Burlington Mall
0346,Stoneridge Shopping Center
0350,Halifax Shopping Centre
0352,Stanford Shopping Center
0353,Town East Mall
0359,Santa Monica Place
0362,The Galleria at Fort Lauderdale
0363,Dalton Mall
0366,Grapevine Mills
0368,Burlington Centre
0369,Peachtree Mall
